rank rank,cities cities,城市 城市,provinces provinces,GDP in 2024 (ExRate:[6] ¥7.1217 per USD) (CNY),GDP in 2024 (ExRate:[6] ¥7.1217 per USD) (USD),GDP in 2023  (revision data) (ExRate: ¥7.0467 per USD) (CNY),GDP in 2023  (revision data) (ExRate: ¥7.0467 per USD) (USD),source
41,Changchun[50],长春,Jilin,763219,107168,750128,106451,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
42,Jiaxing[51],嘉兴,Zhejiang,756953,106288,725356,102936,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
43,Yulin[52],榆林,Shaanxi,754868,105995,721911,102447,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
44,"Taizhou, Jiangsu[15][53]",泰州,Jiangsu,702095,98585,673166,95529,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
45,Jinhua[54],金华,Zhejiang,692550,97245,601127,85306,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
46,"Taizhou, Zhejiang[55]",台州,Zhejiang,665640,93466,631479,89613,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
47,Linyi[56],临沂,Shandong,655580,92054,627050,88985,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
48,Ordos[57],鄂尔多斯,Inner Mongolia,636303,89347,605910,85985,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
49,Yichang[58],宜昌,Hubei,619112,86933,575635,81689,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
50,Huizhou[10][59],惠州,Guangdong,613639,86165,594471,84362,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
51,Xiangyang[60],襄阳,Hubei,610241,85688,584291,82917,https://en.wikipedia.org/wiki/List_of_Chinese_prefecture-level_cities_by_GDP
