city_name_en,province_en,population_2020,population_2010,population_change_percent,source
Handan,Hebei,2095134.0,1540827.0,35.97,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yangzhou,Jiangsu,2067254.0,1584237.0,30.49,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Weifang,Shandong,1998405.0,1161582.0,72.04,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Baoding,Hebei,1940384.0,1397350.0,38.86,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Datong,Shanxi,1809505.0,1420467.0,27.39,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Huai'an,Jiangsu,1804611.0,1523655.0,18.44,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jiangmen,Guangdong,1795459.0,1480023.0,21.31,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Ganzhou,Jiangxi,1778132.0,1035911.0,71.65,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jining,Shandong,1700054.0,1327483.0,28.07,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xiangyang,Hubei,1686403.0,1433057.0,17.68,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xining,Qinghai,1677177.0,1227209.0,36.67,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zunyi,Guizhou,1675245.0,995311.0,68.31,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yinchuan,Ningxia,1662968.0,1159457.0,43.43,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Kunshan,Jiangsu,1652159.0,1118617.0,47.7,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Daqing,Heilongjiang,1604027.0,1433698.0,11.88,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Wuhu,Anhui,1598165.0,1108087.0,44.23,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Mianyang,Sichuan,1549499.0,1063272.0,45.73,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Putian,Fujian,1539389.0,1107199.0,39.03,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Qinhuangdao,Hebei,1520199.0,1088587.0,39.65,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Zhuzhou,Hunan,1510148.0,1093730.0,38.07,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Jilin,Jilin,1509292.0,1469722.0,2.69,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Taizhou,Zhejiang,1485502.0,1189276.0,24.91,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Yiwu,Zhejiang,1481384.0,878903.0,68.55,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
Xingtai,Hebei,1480754.0,1060749.0,39.6,https://en.wikipedia.org/wiki/List_of_cities_in_China_by_population
